error,dis_error,x_error,y_error,yaw_error,slam,x_slam,y_slam,yaw_slam,odom,x_odom,y_odom,yaw_odom,
error,2.33799,-0.125381,2.33462,2.70768,mcl,12.8326,3.92959,87.5404,odom,12.958,1.59497,84.8327,
error,2.33799,-0.125381,2.33462,2.70768,mcl,12.8326,3.92959,87.5404,odom,12.958,1.59497,84.8327,
error,2.36193,-0.140853,2.35773,2.55669,mcl,12.8217,4.00295,87.3894,odom,12.9625,1.64523,84.8327,
error,2.36815,-0.142129,2.36388,2.57138,mcl,12.8249,4.05863,87.4041,odom,12.967,1.69475,84.8327,
error,2.33655,-0.142367,2.33221,2.51248,mcl,12.8291,4.07648,87.3452,odom,12.9715,1.74427,84.8327,
error,2.36014,-0.13027,2.35655,2.71952,mcl,12.8459,4.15285,87.5523,odom,12.9762,1.7963,84.8327,
error,2.33965,-0.142844,2.33529,2.61878,mcl,12.8377,4.1796,87.4515,odom,12.9805,1.84432,84.8327,
error,2.36204,-0.14055,2.35786,2.58896,mcl,12.8446,4.25354,87.4217,odom,12.9852,1.89568,84.8327,
error,2.35783,-0.150526,2.35303,2.60304,mcl,12.8393,4.29998,87.4358,odom,12.9898,1.94696,84.8327,
error,2.3224,-0.148274,2.31766,2.63686,mcl,12.8456,4.30968,87.4696,odom,12.9939,1.99202,84.8327,
error,2.36232,-0.14818,2.35767,2.68106,mcl,12.8506,4.40385,87.5138,odom,12.9988,2.04618,84.8327,
error,2.35318,-0.143596,2.3488,2.67282,mcl,12.8593,4.44087,87.5056,odom,13.0029,2.09207,84.8327,
error,2.35082,-0.146893,2.34623,2.59151,mcl,12.8651,4.53851,87.6426,odom,13.012,2.19228,85.051,
error,2.37209,-0.143333,2.36775,2.77679,mcl,12.8686,4.56003,87.8278,odom,13.012,2.19228,85.051,
error,2.35677,-0.152882,2.3518,2.77091,mcl,12.8626,4.59283,90.1224,odom,13.0155,2.24103,87.3515,
error,2.39379,-0.162574,2.38826,2.74159,mcl,12.8541,4.68131,93.0751,odom,13.0167,2.29305,90.3335,
error,2.40262,-0.154512,2.39765,2.33646,mcl,12.8609,4.73907,95.4427,odom,13.0154,2.34143,93.1062,
error,2.4012,-0.155141,2.39618,2.84203,mcl,12.8567,4.785,98.6714,odom,13.0119,2.38882,95.8293,
error,2.4918,-0.173127,2.48577,2.43909,mcl,12.8374,4.88696,98.9815,odom,13.0105,2.40119,96.5424,
error,2.38579,-0.163286,2.3802,2.73527,mcl,12.8473,4.78139,99.5177,odom,13.0105,2.40119,96.7824,
error,2.39672,-0.166443,2.39093,2.73692,mcl,12.8441,4.79212,102.089,odom,13.0105,2.40119,99.3525,
error,2.40649,-0.173013,2.40026,0.837953,mcl,12.8375,4.80146,102.863,odom,13.0105,2.40119,102.025,
error,2.54608,-0.172712,2.54022,2.57716,mcl,12.8378,4.94141,107.232,odom,13.0105,2.40119,104.655,
error,2.54223,-0.193384,2.53486,2.4703,mcl,12.8172,4.93605,110.158,odom,13.0105,2.40119,107.688,
error,2.67141,-0.199556,2.66394,0.518557,mcl,12.8098,5.06839,110.828,odom,13.0094,2.40445,110.309,
error,2.74813,-0.202497,2.74066,-0.625412,mcl,12.7913,5.18416,112.381,odom,12.9938,2.44351,113.007,
error,3.00148,-0.237534,2.99206,1.6651,mcl,12.7347,5.48555,115.19,odom,12.9722,2.49349,113.525,
error,2.93776,-0.234574,2.92838,1.53709,mcl,12.7189,5.46489,115.062,odom,12.9535,2.53651,113.525,
error,2.67713,-0.204172,2.66933,1.94395,mcl,12.7279,5.25509,115.469,odom,12.932,2.58576,113.525,
error,2.7403,-0.218962,2.73154,1.96201,mcl,12.6943,5.36045,115.487,odom,12.9132,2.62892,113.525,
